,task_distributation
0,"dict_items([(0, [Task<8, LOW>]), (1, [Task<7, HIGH>, Task<206, HIGH>]), (2, [Task<207, HIGH>, Task<3, HIGH>, Task<204, HIGH>]), (3, [Task<208, HIGH>, Task<203, HIGH>, Task<9, HIGH>, Task<210, HIGH>]), (4, [Task<10, LOW>, Task<205, HIGH>]), (5, [Task<1, HIGH>, Task<6, LOW>]), (6, [Task<201, HIGH>, Task<2, LOW>]), (7, [Task<202, HIGH>, Task<5, HIGH>, Task<209, HIGH>, Task<4, LOW>])])"
1,"dict_items([(0, [Task<16, LOW>]), (1, [Task<19, HIGH>]), (2, [Task<219, HIGH>]), (3, [Task<220, HIGH>]), (4, [Task<11, HIGH>, Task<12, LOW>, Task<214, HIGH>]), (5, [Task<211, HIGH>, Task<20, LOW>, Task<213, HIGH>]), (6, [Task<212, HIGH>, Task<18, LOW>, Task<13, HIGH>]), (7, [Task<17, HIGH>, Task<14, LOW>])])"
2,"dict_items([(0, [Task<25, HIGH>]), (1, [Task<225, HIGH>]), (2, [Task<226, HIGH>]), (3, [Task<27, HIGH>, Task<26, LOW>]), (4, [Task<227, HIGH>, Task<28, LOW>]), (5, [Task<228, HIGH>]), (6, [Task<24, LOW>, Task<29, HIGH>]), (7, [Task<22, LOW>, Task<23, HIGH>, Task<21, HIGH>])])"
3,"dict_items([(0, [Task<39, HIGH>]), (1, [Task<239, HIGH>]), (2, [Task<240, HIGH>]), (3, [Task<31, HIGH>, Task<36, LOW>]), (4, [Task<231, HIGH>, Task<32, LOW>]), (5, [Task<232, HIGH>, Task<38, LOW>, Task<40, LOW>]), (6, [Task<33, HIGH>, Task<35, HIGH>]), (7, [Task<233, HIGH>, Task<235, HIGH>])])"
4,"dict_items([(0, [Task<42, LOW>]), (1, [Task<48, LOW>]), (2, [Task<44, LOW>, Task<49, HIGH>, Task<45, HIGH>]), (3, [Task<47, HIGH>, Task<243, HIGH>, Task<245, HIGH>]), (4, [Task<247, HIGH>, Task<244, HIGH>, Task<246, HIGH>]), (5, [Task<248, HIGH>, Task<46, LOW>, Task<249, HIGH>]), (6, [Task<41, HIGH>, Task<242, HIGH>, Task<50, LOW>]), (7, [Task<241, HIGH>, Task<43, HIGH>, Task<250, HIGH>])])"
5,"dict_items([(0, [Task<59, HIGH>]), (1, [Task<259, HIGH>]), (2, [Task<260, HIGH>]), (3, [Task<60, LOW>, Task<51, HIGH>, Task<258, HIGH>]), (4, [Task<56, LOW>, Task<253, HIGH>, Task<251, HIGH>]), (5, [Task<55, HIGH>, Task<52, LOW>, Task<257, HIGH>]), (6, [Task<255, HIGH>, Task<58, LOW>, Task<252, HIGH>]), (7, [Task<256, HIGH>, Task<53, HIGH>, Task<254, HIGH>, Task<57, HIGH>, Task<54, LOW>])])"
6,"dict_items([(0, [Task<61, HIGH>]), (1, [Task<261, HIGH>]), (2, [Task<262, HIGH>]), (3, [Task<63, HIGH>, Task<269, HIGH>]), (4, [Task<263, HIGH>, Task<270, HIGH>]), (5, [Task<264, HIGH>, Task<68, LOW>]), (6, [Task<67, HIGH>, Task<64, LOW>]), (7, [Task<267, HIGH>, Task<69, HIGH>, Task<66, LOW>])])"
7,"dict_items([(0, [Task<74, LOW>]), (1, [Task<71, HIGH>]), (2, [Task<271, HIGH>]), (3, [Task<272, HIGH>]), (4, [Task<80, LOW>, Task<79, HIGH>, Task<75, HIGH>, Task<275, HIGH>, Task<78, LOW>]), (5, [Task<76, LOW>, Task<273, HIGH>, Task<280, HIGH>]), (6, [Task<72, LOW>, Task<278, HIGH>, Task<274, HIGH>, Task<276, HIGH>]), (7, [Task<77, HIGH>, Task<277, HIGH>, Task<73, HIGH>, Task<279, HIGH>])])"
8,"dict_items([(0, [Task<86, LOW>]), (1, [Task<88, LOW>]), (2, [Task<85, HIGH>]), (3, [Task<285, HIGH>]), (4, [Task<286, HIGH>]), (5, [Task<90, LOW>]), (6, [Task<82, LOW>, Task<283, HIGH>, Task<89, HIGH>, Task<289, HIGH>, Task<290, HIGH>, Task<81, HIGH>, Task<281, HIGH>, Task<282, HIGH>, Task<87, HIGH>, Task<287, HIGH>, Task<288, HIGH>]), (7, [Task<84, LOW>, Task<83, HIGH>, Task<284, HIGH>])])"
9,"dict_items([(0, [Task<92, LOW>, Task<93, HIGH>]), (1, [Task<100, LOW>, Task<298, HIGH>]), (2, [Task<91, HIGH>, Task<300, HIGH>]), (3, [Task<291, HIGH>, Task<97, HIGH>]), (4, [Task<292, HIGH>, Task<297, HIGH>]), (5, [Task<94, LOW>, Task<299, HIGH>]), (6, [Task<95, HIGH>, Task<296, HIGH>, Task<96, LOW>]), (7, [Task<295, HIGH>, Task<99, HIGH>, Task<98, LOW>])])"
